AKN,58.67679977,-156.6490021,73
AKO,40.17559814,-103.2220001,4714
AKP,68.13359833,-151.7429962,2102
AKR,7.246739864,5.301010132,1100
AKS,-8.70257,160.682007,5
AKT,34.590401,32.9879,76
AKU,41.262501,80.291702,3816
AKV,60.8185997,-78.14859772,75
AKW,30.7444,49.6772,88
AKX,50.2458,57.206699,738
AKY,20.13269997,92.87259674,27
ALA,43.35210037,77.04049683,2234
ALB,42.74829865,-73.80169678,285
ALC,38.28219986,-0.558156013,142
ALE,30.38419914,-103.6839981,4515
ALF,69.97609711,23.37170029,9
ALG,36.69100189,3.215409994,82
ALH,-34.94329834,117.8089981,233
ALI,27.74090004,-98.02690125,178
ALJ,-28.575001,16.5333,98
ALL,44.050598,8.12743,148
ALM,32.83990097,-105.9909973,4200
ALN,38.89030075,-90.04599762,544
ALO,42.55709839,-92.40029907,873
ALP,36.18069839,37.22439957,1276
ALR,-45.21170044,169.3730011,752
ALS,37.434898,-105.866997,7539
ALU,11.9582,50.748,6
ALW,46.09489822,-118.288002,1194
ALX,32.91469955,-85.96299744,686
ALY,31.18390083,29.94890022,-6
AMA,35.219398,-101.706001,3607
AMB,-13.18840027,48.98799896,72
AMC,11.0340004,20.27400017,1420
AMD,23.07719994,72.63469696,189
AMH,6.039390087,37.59049988,3901
AMI,-8.560709953,116.0950012,52
AMM,31.72260094,35.99319839,2395
AMN,43.32210159,-84.68800354,754
AMQ,-3.710259914,128.0890045,33
AMS,52.308601,4.76389,-11
AMT,-26.10829926,131.2070007,695
AMV,69.76329803,61.5564003,13
AMZ,-37.02970123,174.9730072,111
ANB,33.5882,-85.8581,612
ANC,61.17440033,-149.9960022,152
AND,34.49459839,-82.70939636,782
ANE,47.560299,-0.312222,194
ANF,-23.444501,-70.445099,455
ANG,45.72919846,0.221456006,436
ANI,61.58160019,-159.5429993,88
ANK,39.94979858,32.68859863,2653
ANM,-14.99940014,50.32020187,20
ANN,55.04240036,-131.5720062,119
ANP,38.942902,-76.568398,34
ANQ,41.639702,-85.083504,995
ANR,51.18939972,4.460279942,39
ANS,-13.70639992,-73.35040283,11300
ANU,17.1367,-61.792702,62
ANV,62.646702,-160.190994,291
ANX,69.29250336,16.14419937,43
AOC,50.981945,12.506389,640
AOE,39.809898,30.5194,2588
AOG,41.105301,122.853996,0
AOH,40.706902,-84.026703,975
AOI,43.616299,13.3623,49
AOJ,40.73469925,140.6909943,664
AOK,35.42139816,27.14599991,66
AOL,-29.6894,-57.1521,230
AOO,40.29639816,-78.31999969,1503
AOP,-2.796129942,-76.46659851,728
AOR,6.189670086,100.3980026,15
AOT,45.738499,7.36872,1791
AOU,14.81471536,106.8216991,344
APA,39.57009888,-104.848999,5885
APC,38.2132,-122.280998,35
APF,26.15259933,-81.77529907,8
APG,39.466202,-76.1688,57
API,4.07607,-73.5627,1207
APK,-15.5736,-146.414993,8
APL,-15.10560036,39.28179932,1444
APN,45.0780983,-83.56030273,690
APO,7.81196,-76.7164,46
APQ,-9.775360107,-36.62919998,886
APT,35.060699,-85.585297,641
APW,-13.82999992,-172.0079956,58
APZ,-38.975498,-70.113602,3330
AQA,-21.81200027,-48.13299942,2334
AQB,15.01220036,-91.15059662,6631
AQG,30.582199,117.050003,0
AQI,28.335199,46.125099,1174
AQJ,29.61160088,35.01810074,175
AQP,-16.34110069,-71.58309937,8405
ARA,30.0378,-91.883904,24
ARB,42.22299957,-83.74559784,839
ARC,68.1147,-145.578995,2092
ARD,-8.132340431,124.5970001,10
ARE,18.45000076,-66.6753006,23
ARH,64.60030365,40.71670151,62
ARI,-18.348499,-70.338699,167
ARK,-3.367789984,36.63330078,4550
ARM,-30.52809906,151.6170044,3556
ARN,59.65190125,17.91860008,137
ARR,-45.013599,-70.812202,2286
